PropertyID,Price,LivingArea,Bedrooms,Bathrooms,Fireplaces,Age
3849,126311,1471,3,2.5,0,4
4871,167693,1876,3,2.5,1,1
4995,103958,1486,3,1.5,0,16
2019,155488,1747,3,2.5,0,1
4528,152112,1512,3,2.5,1,18
3401,228619,2527,4,2.5,1,1
2232,139435,1666,3,2.5,0,0
1301,161923,1456,3,2,1,1
4620,261011,3015,4,2.5,1,1
3569,120115,967,4,2,0,55
3668,153013,1720,4,2,1,31
3148,298923,3515,4,2.5,1,0
4459,271791,2815,4,2.5,1,1
1237,126498,720,3,1,0,113
2806,267731,3001,5,2.5,1,0
3167,181979,1822,3,2.5,1,4
4827,145663,1666,3,2.5,1,1
3073,128273,1343,2,2.5,1,15
4520,106524,1144,2,1,1,16
4523,101997,1214,2,1.5,0,17
2324,110963,1888,3,1,1,18
4752,147625,1668,2,2,0,16
2751,466044,3853,4,2.5,1,5
1482,116321,1486,3,1.5,0,16
3370,194880,2278,4,2.5,1,0
4331,143294,1360,4,1,0,53
3907,387652,3504,5,2.5,3,0
2520,240890,1921,3,2,1,0
2795,260460,3726,4,2.5,1,3
1941,90354,912,2,1.5,0,16
4772,192694,2079,3,2.5,0,11
4791,102801,1184,3,2,0,18
3414,79567,908,2,1,0,19
4616,101708,1492,3,2.5,0,16
3734,162913,2011,4,2.5,1,12
1316,75606,912,2,1.5,0,19
3610,175874,2195,3,2,1,1
4169,159313,1561,4,1.5,0,17
2505,207237,2656,4,2.5,1,1
4682,205397,2425,4,2.5,1,0
2297,79116,908,2,1,0,19
1079,161923,1158,3,1.5,0,7
1596,133155,1334,3,1.5,0,7
2423,159786,1561,3,1.5,1,16
4392,102405,1680,3,2,0,15
4477,114514,1514,3,2,0,17
3157,162006,1656,3,1.5,1,17
2354,93815,1184,2,1.5,0,19
1719,181140,2648,4,2.5,1,0
1252,137309,1092,3,1.5,0,33
4514,136551,1880,3,2,0,7
2764,107049,1592,3,2,0,16
3090,163524,2516,3,2,1,40
3664,181140,2310,4,3,1,31
2233,317120,3076,4,3.5,1,0
4532,77547,908,2,1,0,19
3051,81762,912,2,1.5,0,19
3595,147517,1680,4,1,0,27
2751,263226,3355,4,2.5,1,1
3668,163191,1886,3,2.5,1,16
2406,125920,1605,3,2.5,1,0
4651,164623,1772,3,2,1,0
3050,161562,2044,3,2.5,1,16
1653,163781,1124,3,1,0,26
3889,235152,3192,4,3,1,2
4635,120639,1498,2,1.5,1,0
2133,123834,1092,5,1,0,72
2104,76342,896,2,1,0,48
4956,79982,1572,4,1.5,0,41
2648,69152,986,3,1,0,133
4180,71647,2087,3,2.5,1,0
1663,140765,1596,3,1.5,0,49
2508,91792,908,2,1,0,17
3594,134865,1500,3,1.5,2,31
3668,139079,1719,3,1.5,1,25
4257,244443,2810,4,2.5,2,14
1854,162091,1806,3,2.5,1,0
2456,263226,3355,4,2.5,1,1
4877,126010,1760,4,1,1,37
4191,173102,1896,3,1.5,1,17
4849,120639,1498,2,1.5,1,0
1376,139079,1248,3,2,0,37
2981,189654,2320,4,2.5,1,16
1051,89432,1132,2,1,1,25
2252,196317,2359,4,2.5,1,1
3411,209122,3476,4,2.5,1,20
4919,140602,1693,3,1.5,1,26
4117,170567,1585,3,1.5,1,16
2379,111875,1758,3,2,0,25
1727,225885,2524,4,2.5,1,6
4014,163652,1908,3,2.5,1,25
4245,119858,1476,3,1.5,1,24
3742,212830,2266,4,2.5,1,0
4337,142907,1920,3,2,1,31
1707,193524,1730,3,2.5,1,1
4264,189836,1726,3,2,1,26
1012,154432,1644,4,2.5,1,20
3588,248204,1908,3,2,1,0
3169,175514,2475,4,2.5,1,35
4539,297024,3020,4,2.5,2,2
2102,175514,2310,5,2.5,1,36
1704,201616,2119,4,2.5,1,16
3630,562546,5228,4,4,4,14
4840,172814,2056,4,1.5,1,35
2968,232894,2500,4,2.5,1,0
3912,169124,2576,5,2.5,1,34
3342,232219,2541,4,2.5,1,5
3105,247520,2445,4,2.5,2,18
1157,224928,2185,3,2.5,1,14
1758,294133,3981,4,3,1,0
2161,228806,2577,4,2.5,1,0
3485,170600,1728,3,2.5,1,0
4219,175784,1837,3,1.5,0,18
4667,229055,2500,4,2.5,1,0
4941,157513,1910,4,2.5,1,19
2403,308750,2958,4,2.5,1,0
4277,202157,2564,4,2.5,1,30
4256,241885,2604,4,3,1,0
3912,297380,2906,4,2.5,1,2
3877,119751,1480,3,1.5,0,17
4333,153129,1872,4,1.5,1,32
3176,156679,1911,4,1.5,1,35
1174,102086,1302,2,1.5,0,16
4917,149933,1664,3,2,1,25
1098,228375,2512,4,2.5,1,0
1272,261872,2380,3,2.5,1,9
1333,161118,1887,4,2.5,1,27
2442,190856,2086,4,2.5,1,14
1432,140701,1554,2,2,3,20
2615,368396,3358,4,3.5,1,9
1765,250976,2394,4,2.5,1,0
1975,180032,2066,4,2.5,1,32
3286,332888,3111,4,2.5,1,3
4541,177452,2402,4,2.5,1,28
4168,219262,2327,4,2.5,1,10
4919,254327,2541,4,2.5,1,5
4072,197105,1894,3,2,1,0
2158,166888,1740,3,1.5,0,26
2738,115401,1480,3,1.5,0,18
4013,208610,1752,3,2.5,1,10
2776,107892,1375,2,1.5,1,20
3740,143294,1918,3,2,1,29
4306,282373,2793,3,2.5,1,21
3315,239301,2619,4,2.5,1,0
3552,143210,1744,4,1.5,1,35
3316,379678,3720,5,4,1,0
2288,221263,2000,3,2.5,0,22
4141,111264,1142,3,1.5,0,18
1694,252872,2612,4,2.5,1,23
1287,172315,2008,4,2.5,1,0
3195,182068,2035,4,2.5,1,35
2958,94405,1375,2,1.5,0,22
2729,26130,822,2,1,0,173
4773,308218,3597,4,2.5,1,0
2930,117164,1536,2,1,1,55
2329,173639,1910,4,2.5,1,18
3693,282289,3017,4,3.5,1,0
1807,198083,1971,4,2.5,1,7
4772,100306,1314,2,1.5,0,19
4859,181225,1944,4,2.5,1,25
1682,103677,1375,2,1.5,1,21
4024,86651,1140,2,1.5,0,18
2578,96934,1480,3,1.5,0,19
4661,130650,2110,3,2,1,52
3541,105843,972,3,1,0,40
2321,114513,960,2,2,0,11
3456,160426,2262,4,2,0,21
3862,105363,864,3,1,0,128
1362,189995,2150,4,2,0,104
4790,104084,1170,2,2,0,10
2430,210081,1596,3,1,1,29
4499,137508,1530,3,2,1,20
3494,111436,1380,3,1.5,0,2
3661,74422,1708,2,1,2,39
2388,107912,1308,3,1,0,26
1546,123757,1416,3,1.5,0,5
1497,139800,1900,3,1.5,1,12
4191,77921,1704,2,1,0,177
2510,145123,1372,3,1.5,0,26
2966,104412,1480,2,1.5,1,15
2434,391842,3003,4,3.5,1,88
1947,118468,1298,3,1,1,44
2032,176698,1772,3,2.5,1,14
1032,63852,1536,4,1.5,1,30
1997,212103,1400,3,2,1,25
2593,146611,1580,5,1.5,0,26
4754,113444,1656,3,1,0,94
2455,47630,1235,3,1,1,84
3307,63101,1628,2,1,0,124
1241,51183,1144,3,1,0,15
2980,92436,1300,3,1,0,10
2994,114513,1560,3,1.5,0,5
3675,269063,3319,3,2.5,0,20
2163,127303,1210,2,1,1,17
2613,133612,1768,4,1.5,1,48
3865,137508,1164,3,1,1,54
1528,145147,1832,4,2,1,47
4697,107306,1276,3,2,0,29
1968,260228,2092,4,2.5,1,0
4966,104412,2116,4,2,0,74
2008,120476,1248,3,2,0,14
3155,118409,2128,4,2,0,7
4856,146611,1056,2,1,0,5
2281,85560,2068,4,1,1,104
3734,205498,3069,4,3.5,1,13
3659,163478,2334,4,2,0,39
2311,137540,1551,4,1,0,97
4344,116862,1456,4,1,1,54
1204,109633,775,2,1,0,47
4997,156606,1756,3,1.5,1,24
3075,139418,1296,4,2,1,51
4598,122229,1404,3,2,0,72
1576,179524,1632,4,2,1,20
3305,111633,1564,3,1,1,54
1838,134266,1501,3,2,1,44
3087,130239,1586,3,1.5,1,49
4150,121680,1412,3,1.5,0,103
1007,199187,2223,4,2.5,0,9
1964,126311,1370,3,1,1,27
4823,265637,3030,4,2.5,1,1
1684,229915,2103,4,2.5,1,6
1861,161473,1560,2,1,1,43
1200,150909,1512,3,1.5,0,7
1470,287360,3133,4,3,1,1
1945,189912,2316,3,2.5,1,7
4898,109040,1198,2,1,0,13
3715,144561,1292,3,2,1,4
1671,90678,957,3,1,0,49
2229,89955,1216,3,1,0,129
4472,122082,2256,4,1.5,0,124
1502,84333,2043,4,1.5,1,94
4146,144571,1512,3,1.5,1,13
1401,180803,1570,3,2,1,14
1506,198622,1616,2,2,1,36
2401,120192,1404,3,2,0,7
4799,163102,1552,3,1.5,1,9
2685,184515,1472,4,1.5,1,3
1365,189654,2367,4,2.5,1,4
1771,135820,1475,3,2,1,20
3947,150022,1632,4,2.5,1,30
3490,189776,1964,4,2.5,1,6
3696,196603,2064,4,2.5,1,3
2088,161839,1601,3,1.5,1,8
4610,202836,2284,3,1.5,1,29
2225,156797,1672,3,2.5,1,0
4066,222198,2495,4,2.5,1,26
2052,103262,1176,2,1.5,0,31
1766,253545,1498,2,1,1,51
1616,116170,1272,3,1,0,31
2495,112509,1138,3,1,0,98
4792,355529,2186,3,2.5,0,12
1671,204643,1743,3,2.5,1,0
1464,135011,2488,3,2,1,24
2428,106659,936,3,1,0,34
2436,323819,2592,3,3,0,1
3102,135011,1327,2,2,1,35
3616,126010,864,3,1.5,0,37
2951,216018,1216,3,1.5,0,75
3331,446436,3467,4,2.5,1,3
2319,133155,1480,3,2.5,1,16
3712,146471,892,2,1,0,113
3192,329484,2786,4,2.5,1,0
3418,509488,3530,4,3.5,1,0
4601,110963,1568,3,1.5,0,18
3030,300931,847,2,1,0,78
4935,255303,2242,3,2.5,0,0
3310,150909,1374,3,1.5,0,44
1613,184109,1920,3,2.5,1,0
2292,173446,2124,3,2.5,1,0
2673,127740,1480,3,2.5,1,16
4612,213048,2022,3,2.5,1,0
2104,114070,1098,2,1,0,113
3113,205947,1224,2,1,0,63
4577,209226,2550,3,2.5,1,0
2538,134378,1279,3,1,0,31
4265,113371,1177,3,1.5,0,36
1210,261301,1859,3,1.5,0,85
1819,218734,2219,4,2.5,1,15
4708,254944,2579,4,2.5,1,0
4188,143252,1568,3,1.5,0,18
4409,99463,912,3,1,0,31
4844,123064,1209,2,1,0,73
4670,243305,2242,3,2.5,0,0
4651,212846,2270,3,2.5,1,0
1608,378465,3457,3,2.5,2,20
4770,263408,1738,3,2,0,5
4152,189654,1334,2,1.5,0,122
2344,357384,2322,3,2.5,1,0
4857,265515,1870,3,2.5,1,4
3312,168497,1888,3,2,0,6
3225,132088,1368,3,1,0,33
3278,130518,1200,3,1.5,0,1
1697,92519,1368,3,1,0,34
4096,229761,2230,3,2.5,0,1
2689,231298,1800,3,2.5,1,16
1418,152822,1043,3,1,0,104
3094,224888,1200,2,1,0,65
3180,244124,2346,4,2.5,1,0
3639,148989,792,3,1,0,36
1687,236936,2300,3,2.5,1,16
1294,261031,2280,4,2.5,1,24
3206,246976,1652,3,1.5,1,4
1539,120476,2238,3,1.5,1,114
2155,168065,1016,2,2,0,41
1722,173794,1970,4,2.5,1,18
3608,213901,1680,3,2,1,27
2007,217797,1386,2,1.5,0,92
4659,171885,1550,2,2.5,1,16
2308,286474,2058,4,2.5,1,26
2999,174940,1126,3,2,1,46
1840,261647,1850,4,2.5,1,16
1040,138424,1673,3,1,1,27
4724,148967,2208,3,2.5,1,17
2139,200940,1116,3,2,0,38
3494,234429,1470,3,2.5,0,3
3734,476301,2986,4,2.5,1,12
3073,333411,3356,4,2.5,1,6
1396,247639,1016,2,2,0,41
4705,122796,1612,3,1,1,34
1911,279083,1908,3,2,1,16
1513,177124,1064,2,1,1,77
1824,160007,2078,4,1.5,0,33
3936,154798,2470,4,2.5,1,26
1342,373227,2058,2,1.5,1,49
1797,122257,1400,3,1.5,0,17
3846,165213,1664,3,3,0,10
2895,128040,1488,3,2.5,1,1
3700,120476,1120,3,2,0,7
2554,64174,672,2,1,0,46
1537,124492,1164,3,2,0,8
2550,111534,1032,3,1,0,4
2121,114590,1736,3,2,1,37
1543,97783,1061,3,1,1,48
1534,64552,1298,3,1,0,106
4932,114238,1164,3,2,0,7
2842,57678,924,1,1,0,104
1389,89232,960,3,1,0,51
2069,72189,1594,4,1.5,0,81
1059,210081,2008,4,2.5,1,19
4140,126049,1268,3,1,1,25
4200,98790,1480,3,1.5,1,16
2688,103408,1034,2,1.5,1,14
2767,102806,1480,3,1.5,1,15
1496,159843,1350,2,1.5,1,1
1710,111353,1248,3,1.5,0,0
4864,234954,2294,4,3.5,1,0
1073,103256,1492,3,1.5,0,16
2631,81580,1336,2,1.5,1,20
4143,229180,2310,4,2.5,1,3
3909,116882,1542,3,2.5,0,10
4989,154238,1984,2,2.5,0,11
3599,100839,1480,2,1.5,0,17
4476,122257,1856,3,1.5,1,36
3762,128040,1688,3,1,1,29
2926,102806,1248,3,1,1,46
4770,236055,2405,4,2.5,1,16
3489,91672,1392,3,1.5,0,21
1969,130757,1394,4,1,0,33
4975,200793,1940,3,2,0,9
2729,202836,2068,4,2.5,1,17
1875,60238,1664,3,1.5,0,76
3027,40932,1320,3,1,0,90
2364,92519,1281,2,2.5,1,19
4256,148692,1397,2,1.5,1,14
4843,123910,1620,3,2.5,1,1
1844,103258,1344,3,1.5,0,16
2201,394532,3361,4,3.5,1,1
3767,187104,2040,4,2.5,1,1
1928,97476,1219,2,1.5,0,19
2595,125562,1253,2,1.5,1,16
3169,208048,1876,3,2.5,1,1
4199,334556,3296,4,2.5,1,6
2722,134933,1496,3,1,1,37
3326,178140,2200,4,2.5,1,1
2892,345364,3308,4,2.5,1,7
3219,285500,3328,4,2.5,1,0
3905,228904,1824,3,2.5,1,11
2140,207018,2147,4,2.5,1,9
4942,257015,2093,3,2.5,1,1
2143,160635,1336,3,2,0,11
2067,329221,2934,3,2.5,1,9
3826,136499,1152,3,1,0,36
2583,121279,1348,2,2.5,1,18
2495,240952,2376,4,2.5,1,10
4945,340545,2926,4,3,1,11
4555,176846,2249,4,2.5,1,1
2512,312448,2919,4,2.5,1,5
3290,314912,3423,4,2.5,1,0
3182,171885,1536,3,2.5,1,7
2131,225742,2216,3,2.5,1,8
2063,240639,2572,4,2.5,1,9
3905,236742,2412,4,2.5,1,10
3675,99311,1281,2,2.5,1,18
1554,136192,1623,4,1.5,1,36
3506,223266,2619,4,2.5,1,4
1969,133215,1364,2,1.5,1,19
3685,77650,1620,4,1.5,0,99
4796,150505,1785,3,2.5,0,1
4116,169343,1796,3,2.5,0,14
1059,115566,1184,3,2,0,17
1109,154528,1785,3,2.5,0,1
3392,218184,2655,4,2.5,1,1
1000,366772,3200,4,2.5,1,1
1083,199990,2011,4,2.5,0,12
4259,303599,3329,3,1.5,0,14
1870,94774,1240,2,1.5,0,17
1700,98389,1184,2,1.5,0,18
3642,110115,1385,2,1.5,2,17
2173,160349,1732,3,1.5,2,17
1826,75094,728,2,1,0,22
2909,152404,1508,3,2,1,16
4891,154314,1466,3,1,1,62
4411,99311,690,3,1,0,114
1111,110770,911,2,1,0,114
4076,157370,1656,3,1.5,1,19
3010,148203,1782,3,1.5,0,36
2070,85585,912,2,1.5,0,20
1570,137606,1508,3,1.5,0,19
3998,110889,1266,3,1,1,134
2810,96004,912,2,1.5,0,18
1779,119001,1506,3,1.5,1,24
4481,74421,1928,4,2,1,134
1933,145123,1536,3,2,0,6
3399,163728,1811,3,2.5,1,19
2449,193497,1948,3,2.5,1,13
1302,73892,864,3,1.5,0,114
4266,113367,1760,4,1.5,1,133
2838,162984,1872,3,1.5,0,18
2905,202800,2250,4,2.5,0,2
4965,84291,924,3,1,0,15
1058,98632,1406,2,1.5,0,19
4401,155713,3535,4,3,2,39
2791,146626,1561,3,1.5,0,18
3429,92932,988,2,2,0,19
1777,164419,1785,3,2.5,1,1
2726,218184,2655,4,2.5,1,1
4900,174208,2372,3,2,1,2
1786,200713,2504,4,2.5,1,14
3501,102003,1184,2,1.5,0,20
3027,85939,1527,2,2,1,17
4049,210672,1764,3,2.5,1,8
3567,98389,1184,2,1.5,0,18
4556,102806,1168,3,2,0,21
1588,111239,912,2,1.5,0,20
2051,100397,912,2,1.5,0,18
2560,117703,1492,3,2.5,1,17
4479,152786,1508,3,2,1,20
3784,87852,1270,3,1,0,110
3639,180670,2310,4,2.5,1,31
3567,55817,1688,5,2,0,119
3331,230708,2548,3,2.5,1,3
3344,93846,1385,2,1.5,0,17
2023,243276,3271,4,2.5,1,1
1263,226304,1921,3,2,1,0
1733,119784,1560,2,1,0,25
1500,108478,1840,3,1,0,8
4588,154696,1704,3,2.5,1,17
3569,198622,1971,4,2.5,0,11
3422,167776,3106,4,2.5,0,8
2616,84291,924,3,1,0,15
2842,126436,1216,3,1,1,51
2935,129609,1635,4,1.5,0,52
2362,137127,1892,3,2,2,26
2007,277235,2950,4,2.5,1,1
1976,209555,2539,4,2.5,0,1
2418,101193,1375,2,1.5,1,21
1223,104084,1302,2,1.5,1,17
2304,99045,937,2,1,0,19
1474,334556,3376,4,2.5,1,7
3063,186605,2328,3,2.5,1,1
2274,210646,1994,3,2,1,49
4423,230414,2623,4,2.5,1,0
1347,208253,2602,4,2.5,1,1
2103,104084,1480,3,1.5,0,19
3153,94584,924,2,1,1,19
1724,233155,3236,4,2.5,1,0
1756,227994,1973,3,2.5,1,3
3288,115649,1422,3,1.5,0,20
3382,137044,1352,2,1.5,0,11
3908,261846,2772,4,2.5,1,0
2595,168739,1620,3,2,0,0
3434,236936,2500,4,2.5,1,11
1348,197581,1702,3,1.5,1,16
1890,297174,2748,4,2.5,1,3
3432,155414,2310,4,2.5,1,38
2415,141760,1740,3,1.5,0,36
2080,214367,2500,4,2.5,1,0
3280,146981,1832,3,1.5,1,30
2598,268260,2657,4,2.5,1,15
1300,69876,976,2,2,0,21
4106,143768,1612,3,1.5,1,37
1287,130917,1456,3,1,1,23
1072,187701,1992,4,2.5,1,30
1988,240872,2348,4,2.5,1,7
3549,206415,2676,4,2.5,1,34
2553,191790,2304,4,2.5,1,0
2655,312434,3440,4,2.5,1,3
3503,217226,2593,4,2.5,1,0
3333,176618,2162,4,2.5,1,19
4276,152786,1578,3,2.5,1,11
2011,190983,2088,4,2.5,1,22
3098,99082,924,2,1,1,20
3488,148585,1734,4,1.5,1,34
3428,129868,1792,2,2.5,1,24
3222,304045,2960,4,2.5,1,8
4615,265848,2993,4,2.5,1,15
3892,187087,2027,3,2.5,1,15
2588,220776,2421,4,2.5,2,13
2852,161190,1758,4,2,1,26
4611,184108,2702,5,1.5,1,31
4175,179524,2600,4,2.5,1,18
3746,244382,2572,4,2.5,1,6
3917,213137,2498,5,2.5,1,36
1614,244441,2396,3,2.5,1,5
2109,263938,2641,4,2.5,1,3
3712,271578,3123,4,2.5,1,14
2651,119937,2028,3,2,1,27
1580,504119,3721,5,2.5,1,14
4686,140945,1873,4,2.5,1,32
1042,236819,2608,4,2.5,1,4
4078,91672,929,2,1.5,0,21
4726,93200,924,2,1,1,19
4053,118409,1227,2,2,1,19
1592,180288,2294,5,2.5,1,36
1153,87852,976,2,2,0,23
2612,237583,2762,4,2.5,1,17
4250,357138,2618,3,1.5,1,1
3571,198622,2024,3,2,2,25
1834,148967,1864,3,1.5,1,154
1954,133688,1780,2,2.5,0,25
2285,156530,1734,4,2.5,1,29
1988,178760,2014,3,1.5,1,32
1120,103633,1314,2,1.5,0,21
4577,182334,2262,4,2.5,1,24
2540,204661,1927,3,2,1,3
3264,74422,2708,4,2,0,21
2959,161496,1910,4,2.5,0,20
3425,89306,1480,3,1.5,0,19
4087,152491,1875,4,2.5,1,31
4409,160007,1665,4,2,1,27
1612,212103,2170,3,2.5,1,3
3840,171171,1822,3,1.5,0,12
1087,171171,1784,3,1.5,0,104
3066,162612,1348,2,2,1,11
3043,95260,1480,3,1.5,1,15
2364,130239,1052,2,1.5,1,15
3806,125029,1836,3,2,0,27
1507,137681,1728,4,1.5,0,12
4085,175084,2214,3,2.5,1,22
3145,328491,2733,4,2.5,1,3
1140,282655,2931,4,3.5,1,12
1992,292524,2900,4,2.5,1,1
3172,140658,2254,4,1.5,1,31
3689,215824,2056,4,2.5,1,2
2127,165957,1212,2,1,1,87
3528,177998,2564,4,2.5,1,34
3489,260887,2176,3,2,1,36
1567,325262,3496,4,2.5,1,7
2833,114827,1332,3,1,1,45
4645,96958,1244,4,1.5,0,53
3004,104339,1290,3,2,0,16
2835,146609,1989,4,1.5,1,104
3856,150798,1212,3,1.5,0,6
2554,207347,2119,4,2.5,1,14
1842,199900,1808,2,1.5,1,6
4496,133199,1716,4,2,1,4
2594,167253,1872,3,2,1,16
3262,97682,1548,3,1.5,0,85
4918,79170,1536,3,2,0,105
2212,112877,1380,3,1,0,3
3106,78191,1080,3,2,0,15
2746,110738,1800,3,1.5,0,83
4442,101227,1754,4,1,0,110
4067,69463,1170,2,1,0,110
3613,167319,2088,3,2,1,2
2845,151950,1890,4,2,1,30
2597,188497,1742,3,2.5,1,5
4717,108002,1544,3,2,0,72
3459,104371,1463,3,1.5,0,125
3893,69814,840,1,1,1,57
4956,116938,988,3,1,0,10
2544,200791,1680,3,2.5,1,4
3815,162631,1804,3,2.5,1,2
4304,166222,1498,3,1.5,0,10
2679,146978,1656,3,1.5,1,18
2201,156820,1720,3,2,1,27
2584,170534,1820,3,2.5,1,18
4420,209371,2076,3,2.5,1,13
1356,153590,1820,4,1.5,1,45
3887,124585,1468,4,1,0,51
1025,122044,1637,3,1.5,0,54
1397,224668,2526,4,2.5,1,1
4874,116589,1322,3,1,0,63
2396,179572,1736,3,1.5,1,17
2341,190444,1836,3,2,1,0
2135,213249,1643,3,2.5,1,3
2999,181399,1842,3,1.5,0,8
3652,193565,2167,3,2.5,1,8
3189,148231,1475,3,1.5,0,21
4377,337918,3026,4,4,1,1
2321,124669,1092,3,1.5,0,35
4070,167975,2311,4,2.5,1,20
3362,90446,1256,3,1.5,0,19
1691,101230,1040,3,1,0,12
2084,91386,1120,3,1,0,14
3532,149078,1664,3,1.5,0,14
2361,121973,2268,3,1,0,25
2186,123827,1302,3,2,0,35
3053,109259,1239,3,1,1,33
2547,473938,780,2,1.5,0,55
2777,107766,1272,3,1,1,43
2057,578856,2472,3,2.5,1,6
3092,191746,1666,3,1,0,140
2303,146161,984,3,1,1,41
3251,140238,1322,3,1,0,130
3343,506149,2586,4,3,1,3
1407,107513,1008,3,1,0,38
4513,157430,1092,3,1,1,41
3210,330219,2576,3,2.5,1,31
1357,432845,3250,3,2.5,2,23
1299,240857,1445,3,1.5,1,17
3701,251259,1932,3,2,1,0
3871,169647,1430,3,2.5,0,5
4520,205950,1474,3,2,1,29
2139,338596,1908,4,3.5,1,17
5000,268783,2329,5,2,0,72
4679,118585,936,3,1,0,35
4860,113740,1920,3,1,1,34
2895,257499,1675,2,2.5,1,18
2453,152466,1600,4,2,0,35
3123,114519,1428,3,2,0,85
1914,247839,1536,3,1.5,1,66
4592,181516,1924,3,2,0,16
2073,138914,1576,3,1.5,0,18
4622,108421,1288,3,1,0,32
2357,107411,840,2,1,0,2
3276,166019,1110,3,1,1,115
4761,93174,784,1,1,0,44
4876,599701,5114,5,4.5,2,131
3676,231749,1980,3,2,0,6
3741,137220,1290,3,1.5,1,16
2802,279522,2000,3,2.5,1,4
1371,250723,2490,4,2.5,1,4
2762,452745,1764,4,2.5,1,85
3207,142057,952,3,1,0,102
2130,111546,1560,3,1,0,31
2441,262461,2932,4,2.5,1,31
4938,492114,2563,4,2,0,55
1933,298549,2310,2,3,1,23
3767,156164,1792,3,2.5,0,6
1981,183657,1250,4,1.5,0,43
2494,160692,1500,2,2,1,18
1249,147634,864,3,1.5,0,39
3591,236215,1392,3,2.5,0,4
3496,109249,812,2,1,0,115
3760,139104,1760,4,3,0,135
4800,104328,898,2,1,1,57
4922,104984,1096,3,1,0,67
